"Codice_Cipe","Data_Cipe","Progressivo_Cipe","Codice_Titolario","Numero_Fascicolo","Numero_SottoFascicolo","Codice_Registro","Codice_Registro2","Codice_Registro3","Codice_TipoArgomentoCipe","Codice_ArgomentoCipe","Numero_OdgCipe","Oggetto_Cipe","Codice_Ufficio","Codice_RisultanzaCipe","Codice_EsitoCipe","Codice_TipoEsitoCipe","Numero_Delibera","Annotazioni_Cipe"
33632,"2005-07-29 00:00:00",0,11,215,,,,,0,0,"0","LINEA 1 METROPOLITANA DI NAPOLI TRATTA CENTRO DIREZIONALE - CAPODICHINO",5,0,0,0,0,
33633,"2005-07-29 00:00:00",0,11,216,,,,,0,0,"0","L. 109/1994 PROGRAMMA TRIENNALE DIPARTIMENTO TRASPORTI TERRESTRI 2005/2007",5,0,4,8,0,
33635,"2005-07-29 00:00:00",0,11,217,,,,,0,0,"0","TANGENZIALE DI LUCCA",5,0,0,0,0,
33636,"2005-07-15 00:00:00",0,11,218,,,,,0,0,"0","SECONDO AGGIORNAMENTO PROGRAMMA INFRASTRUTTURE STRATEGICHE ",5,0,0,0,0,
33637,"2005-07-29 00:00:00",0,11,219,,,,,0,0,"0","AUTOSTRADA BRESCIA BERGAMO MILANO",5,0,0,0,0,
33638,"2005-08-03 00:00:00",0,11,220,,,,,0,0,"0","NODO DI PERUGIA",5,0,0,0,0,
33639,"2005-08-03 00:00:00",0,11,221,,,,,0,0,"0","POTENZIAMENTO LINEA FERROVIARIA TORINO-BUSSOLENO",5,0,0,0,0,
33640,"2005-07-29 00:00:00",0,11,221,,,,,0,0,"0","POTENZIAMENTO LINEA FERROVIARIA TORINO-BUSSOLENO",5,0,0,0,0,
33642,"2005-07-29 00:00:00",0,11,222,,,,,0,0,"0","COLLEGAMENTO AUTOSTRADALE DALMINE– COMO – VARESE - PEDEMONTANA LOMBARDA",5,0,4,8,0,
33643,"2005-07-29 00:00:00",0,11,223,,,,,0,0,"0","TANGENZIALE EST ESTERNA DI MILANO",5,0,4,8,0,
33644,"2005-07-29 00:00:00",0,11,224,,,,,0,0,"0","DIRETTRICE ORTE - FALCONARA - NODO FERROVIARIO DI FALCONARA",5,0,0,0,0,
33645,"2005-12-02 00:00:00",0,11,226,,,,,0,0,"0","L. 211/1992 TRASPORTO RAPIDO DI MASSA: COMUNI DI POTENZA, TORINO,SPOLETO, MILANO E DELLA REGIONE CAMPANIA E DI BERGAMO E CILEA",5,0,4,8,0,
33646,"2005-12-02 00:00:00",0,11,228,,,,,0,0,"0","L. 109/1994 - PROGRAMMA EDILIZIA STATALE E INTERVENTI SPECIALI TRIENNIO 2005/2007",5,0,4,8,0,
33648,"2005-12-02 00:00:00",0,11,229,,,,,0,0,"0","ELETTRODOTTO ""MATERA -S.SOFIA""",26,0,0,0,0,
33649,"2005-12-02 00:00:00",0,11,230,,,,,0,0,"0","COLLEGAMENTO SOTTOMARINO IN CORRENTE CONTINUA (SAPEI) (SARDEGNA -PENISOLA ITALIANA)",26,0,0,0,0,
33650,"2005-12-02 00:00:00",0,11,231,,,,,0,0,"0","PROROGA AL 2006 DEL CONTRATTO DI PROGRAMMA 2001 - 2005 CON FS - RFI",5,0,0,0,0,
33651,"2005-12-02 00:00:00",0,11,232,,,,,0,0,"0","VELOCIZZAZIONE LINEA FERROVIARIA CATANIA-SIRACUSA (TRATTA BICOCCA-TARGIA)",5,0,0,0,0,
33652,"2005-12-02 00:00:00",0,11,233,,,,,0,0,"0","AUTOSTRADA SALERNO-REGGIO CALABRIA  TRA KM. 222 E KM. 225,800",5,0,0,0,0,
33653,"2005-12-02 00:00:00",0,11,234,,,,,0,0,"0","AUTOSTRADA SALERNO-REGGIO CALABRIA TRA KM. 47,800 E KM. 53,800",5,0,0,0,0,
33654,"2005-12-02 00:00:00",0,11,235,,,,,0,0,"0","SS 640 AGRIGENTO - CALTANISSETTA",3,0,0,0,0,
33655,"2005-12-02 00:00:00",0,11,236,,,,,0,0,"0","STRADA DELLE ""TRE VALLI"" TRATTO EGGI - E45",3,0,0,0,0,
33657,"2005-12-02 00:00:00",0,11,237,,,,,0,0,"0","ACCESSIBILITA' VALTELLINA SS 38 - LOTTO 1 VARIANTE DI MORBEGNO",5,0,0,0,0,
33730,"2003-07-25 00:00:00",0,12,29,,,,,0,0,"0","FSN 1999-2001 - PREVENZIONE E CURA DELLA FIBROSI CISTICA PER LA RICERCA",7,0,4,8,0,
33731,"2003-07-25 00:00:00",0,12,30,,,,,0,0,"0","FSN. 2001-2002 - RIPARTIZIONE QUOTA ACCANTONATA PER  CITTADINI EXTRACOMUNITARI",7,0,4,8,0,
33732,"2003-07-25 00:00:00",0,12,31,,,,,0,0,"0","FSN 2002 - RIPARTIZIONE SOMME VINCOLATE  PER IL PERSONALE DIRIGENTE",7,0,4,8,0,
33733,"2003-07-25 00:00:00",0,12,32,,,,,0,0,"0","FSN 2002 - RIPARTO DISPONIBILITA' SSN",7,0,4,8,0,
33734,"2003-07-25 00:00:00",0,12,33,,,,,0,0,"0","FSN 2003 SOMME VINCOLATE PER AMMORTAMENTO MUTUI PRE-RIFORMA CASSA DD.PP. (N.I.)",7,0,4,8,0,
33735,"2003-07-25 00:00:00",0,12,34,,,,,0,0,"0","FSN 2000 - INTEGRAZIONE PER IL MINOR GETTITO IRAP E ADDIZIONALE IRPEF",7,0,4,8,0,
33736,"2003-07-25 00:00:00",0,12,35,,,,,0,0,"0","RIPARTIZIONE DISPONIBILITA' FINANZIARIE PER IZS ANNO 2003",7,0,4,8,0,
33737,"2003-07-25 00:00:00",0,12,36,,,,,0,0,"0","FSN 2003 ASSEGNAZIONE ALL'IZS DI ROMA PER INTEGRAZIONE FONDO TRATTAMENTI DI FINE RAPPORTO",7,0,4,8,0,
33738,"2003-07-25 00:00:00",0,12,37,,,,,0,0,"0","FSN 2003 FINANZIAMENTO BORSE DI STUDIO IN MEDICINA GENERALE  SECONDA ANNUALITA' BIENNIO 2001-2003",7,0,4,8,0,
33740,"2003-12-19 00:00:00",0,12,40,,,,,0,0,"0","FSN 2003: RIPARTO RISORSE PER OBIETTIVI PRIORITARI E DI RILIEVO NAZIONALE DEL PIANO SANITARIO NAZIONALE",7,0,4,8,0,
33741,"2003-11-13 00:00:00",0,12,40,,,,,0,0,"0","FSN 2003: RIPARTO RISORSE PER OBIETTIVI PRIORITARI E DI RILIEVO NAZIONALE DEL PIANO SANITARIO NAZIONALE",7,0,4,8,0,
33742,"2003-12-05 00:00:00",0,12,41,,,,,0,0,"0","FSN 2003 - RIPARTIZIONE SOMME VINCOLATE  PER IL PERSONALE DIRIGENTE",7,0,4,8,0,
33743,"2003-12-05 00:00:00",0,12,42,,,,,0,0,"0","FSN. 2003 - RIPARTIZIONE QUOTA ACCANTONATA PER  CITTADINI EXTRACOMUNITARI",7,0,4,8,0,
33744,"2003-12-05 00:00:00",0,12,43,,,,,0,0,"0","FSN 2003 - PREVENZIONE E CURA DELLA FIBROSI CISTICA PER LA RICERCA",7,0,4,8,0,
33745,"2003-12-05 00:00:00",0,12,44,,,,,0,0,"0","FSN 2003 -  PREVENZIONE E LOTTA CONTRO L'AIDS",7,0,4,8,0,
33746,"2004-01-29 00:00:00",0,12,45,,,,,0,0,"0","REGIONE CALABRIA:RIPROGRAMMAZIONE RISORSE ASSEGNATE CON DELIBERA 26/1/96",,0,4,8,1,""
33752,"2005-05-27 00:00:00",0,12,50,,,,,0,0,"0","FSN 2004: RIPARTO RISORSE  PER OBIETTIVI PRIORITARI E DI RILIEVO NAZIONALE DEL PIANO SANITARIO NAZIONALE 2003/2005",7,0,4,8,0,
33757,"2005-03-18 00:00:00",0,12,55,,,,,0,0,"0","RELAZIONE PROGRAMMA INVESTIMENTI IN SANITA'  EX ART.20 LEGGE 67/1988",7,0,0,0,0,
33758,"2005-05-27 00:00:00",0,12,56,,,,,0,0,"0","FSN 2003: RIPARTO RISORSE PER FINANZIAMENTO ESCLUSIVITA' DI RAPPORTO PER GLI OSPEDALI CLASSIFICATI RELIGIOSI ETC.",7,0,0,0,0,
33759,"2005-05-27 00:00:00",0,12,57,,,,,0,0,"0","FSN 2004 - RIPARTIZIONE SOMME VINCOLATE  PER IL PERSONALE DIRIGENTE",7,0,0,0,0,
33760,"2005-05-27 00:00:00",0,12,58,,,,,0,0,"0","FSN 2003 SOMME VINCOLATE PER AMMORTAMENTO MUTUI PRE-RIFORMA CASSA DD.PP.",7,0,0,0,0,
33761,"2005-05-27 00:00:00",0,12,59,,,,,0,0,"0","FSN 2005 - RIPARTIZIONE DELLE DISPONIBILITA' PER IL SERVIZIO SANITARIO NAZIONALE",7,0,0,0,0,
33762,"2005-12-02 00:00:00",0,12,62,,,,,0,0,"0","FSN 2001 - 2002 e 2003 - RECUPERO PER IL MAGGIORE GETTITO IRAP E ADDIZIONALE IRPEF",7,0,0,0,0,
33763,"2006-03-22 00:00:00",0,12,63,,,,,0,0,"0","FSN 2005 FINANZIAMENTO BORSE DI STUDIO IN MEDICINA GENERALE  SECONDA ANNUALITA' TRIENNIO 2004-2006",7,0,4,8,0,
33764,"2006-03-22 00:00:00",0,12,64,,,,,0,0,"0","FSN 2005 - RIPARTIZIONE SOMME VINCOLATE  PER IL PERSONALE DIRIGENTE",7,0,4,8,0,
33765,"2006-03-22 00:00:00",0,12,65,,,,,0,0,"0","FSN 2005: QUOTA ACCANTONATA PER CITTADINI EXTRACOMUNITARI",7,0,4,8,0,
33766,"2006-03-22 00:00:00",0,12,66,,,,,0,0,"0","FSN 200: PREVENZIONE E CURA FIBROSI CISTICA",7,0,4,8,0,
33767,"2006-03-22 00:00:00",0,12,67,,,,,0,0,"0","RIPARTO ACCANTONAMENTO DI CUI ALLA DELIBERA CIPE 64/2004, RELATIVA AL PROGRAMMA DI INTERVENTI URGENTI PER LA LOTTA CONTRO L'AIDS",7,0,4,8,0,
33768,"2006-03-22 00:00:00",0,12,68,,,,,0,0,"0","FSN 2005 - ASSEGNAZIONE VINCOLATA PER AMMORTAMENTO MUTUI PRE-RIFORMA CONCESSI DALLA CASSA DEPOSITI E PRESTITI (EDILIZIA SANITARIA",7,0,4,8,0,
33769,"2006-03-22 00:00:00",0,12,69,,,,,0,0,"0","FSN 2005 - RIPARTIZIONE DELLA QUOTA VINCOLATA AGLI OBIETTIVI DI PSN 2003-2005",7,0,4,8,0,
33770,"2006-11-17 00:00:00",0,12,70,,,,,0,0,"0","FSN 2005 PREVENZIONE E LOTTA CONTRO L'AIDS",7,0,0,0,0,
33773,"2001-11-15 00:00:00",0,14,4,,,,,0,0,"0","PROROGA TERMINI PER RINNOVO CONVENZIONI AUTOSTRADALI",3,0,4,8,0,
33166,"2007-05-17 00:00:00",0,8,112,,,,,0,0,"0","CONTRATTO DI PROGRAMMA  SVILUPPO ITALIA TURISMO S.p.A.",4,0,0,0,0,
33169,"2000-08-04 00:00:00",0,8,114,,,,,0,0,"0","CONTRATTO DI PROGRAMMA ALICOS (EX 7C ITALIA)",4,0,0,0,0,
33170,"2008-03-27 00:00:00",0,8,115,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO FLOROVIVAISTICO AGROAMBIENTALE DELLO JONIO (CONFLAJ)",4,0,0,0,0,
33171,"2005-03-18 00:00:00",0,8,115,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO FLOROVIVAISTICO AGROAMBIENTALE DELLO JONIO (CONFLAJ)",4,0,0,0,0,
33172,"2005-12-02 00:00:00",0,8,115,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO FLOROVIVAISTICO AGROAMBIENTALE DELLO JONIO (CONFLAJ)",4,0,0,0,0,
33173,"2007-11-29 00:00:00",0,8,115,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO FLOROVIVAISTICO AGROAMBIENTALE DELLO JONIO (CONFLAJ)",4,0,0,0,0,
33174,"2005-03-18 00:00:00",0,8,116,,,,,0,0,"0","CONTRATTO DI PROGRAMMA COLACEM",4,0,0,0,0,
33175,"2007-04-24 00:00:00",0,8,117,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO PER LO SVILUPPO VALLE DEL RIO FORCELLA",4,0,0,0,0,
33176,"2005-03-18 00:00:00",0,8,117,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO PER LO SVILUPPO VALLE DEL RIO FORCELLA",4,0,0,0,0,
33177,"2005-12-02 00:00:00",0,8,118,,,,,0,0,"0","PATTI TERRITORIALI E CONTRATTI D'AREA - ACCERTAMENTI FINALI DI SPESA",4,0,4,8,0,
33178,"2005-05-27 00:00:00",0,8,120,,,,,0,0,"0","CONTRATTO DI PROGRAMMA EQUIPOLYMERS S.P.A.",4,0,0,0,0,
33179,"2005-05-27 00:00:00",0,8,121,,,,,0,0,"0","CONTRATTO DI PROGRAMMA SICILIA GOLF RESORT S.C.A.R.L.",4,0,0,0,0,
33180,"2005-05-27 00:00:00",0,8,122,,,,,0,0,"0","CONTRATTO DI FILIERA  ALTA QUALITA' (contiene relazione sui contratti di filiera)",4,0,0,0,0,
33181,"2005-05-27 00:00:00",0,8,123,,,,,0,0,"0","CONTRATTO DI FILIERA CAMPOVERDE",4,0,0,0,0,
33182,"2005-05-27 00:00:00",0,8,124,,,,,0,0,"0","RELAZIONI 2° SEM 2004 SULLE EROGAZIONI DELLA CASSA DEPOSITI E PRESTITI SU PATTI TERRITORIALI  CONTRATTI D'AREA",4,0,0,0,0,
33183,"2005-05-27 00:00:00",0,8,126,,,,,0,0,"0","CONTRATTO DI FILIERA ""ASSOCIAZIONE TEMPORANEA PER LO SVILUPPO DELLE FILIERA PATATICOLA - ATSFP""",4,0,0,0,0,
33184,"2005-07-29 00:00:00",0,8,127,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO PAUSANIA ",4,0,0,0,0,
33186,"2005-05-27 00:00:00",0,8,128,,,,,0,0,"0","CONTRATTO DI PROGRAMMA ""OP MAROLLO""",4,0,0,0,0,
33188,"2005-05-27 00:00:00",0,8,129,,,,,0,0,"0","CONTRATTO DI PROGRAMMA ""FLORCONSORZI""",4,0,0,0,0,
33189,"2005-07-29 00:00:00",0,8,130,,,,,0,0,"0","CONTRATTO DI PROGRAMMA FIAT AUTO SPA",4,0,0,0,0,
33190,"2005-07-29 00:00:00",0,8,131,,,,,0,0,"0","CONTRATTO DI PROGRAMMA SEVEL SPA",4,0,0,0,0,
33191,"2005-07-29 00:00:00",0,8,132,,,,,0,0,"0","CONTRATTO DI PROGRAMMA FIAT POWERTRAIN ITALIA SRL",4,0,0,0,0,
33193,"2005-07-29 00:00:00",0,8,133,,,,,0,0,"0","CONTRATTO DI FILIERA - ""CONSORZIO VIGNECANTINE""",4,0,4,8,0,
33194,"2006-03-22 00:00:00",0,8,133,,,,,0,0,"0","CONTRATTO DI FILIERA - ""CONSORZIO VIGNECANTINE""",4,0,4,8,0,
33195,"2008-03-27 00:00:00",0,8,134,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO FIORIFRUTTI",4,0,0,0,0,
33196,"2005-07-29 00:00:00",0,8,134,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO FIORIFRUTTI",4,0,0,0,0,
33197,"2005-07-29 00:00:00",0,8,135,,,,,0,0,"0","CONTRATTO DI PROGRAMMA PICENO CONSIND",4,0,0,0,0,
33198,"2005-07-29 00:00:00",0,8,136,,,,,0,0,"0","CONTRATTO DI PROGRAMMA SVILUPPO DELLE PRODUZIONI AGRICOLE SICILIANE SCARL",4,0,0,0,0,
33199,"2005-12-02 00:00:00",0,8,137,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CIT HOLDING - STRUTTURE TURISTICHE BORGO DEGLI ULIVI",4,0,0,0,0,
33200,"2005-07-29 00:00:00",0,8,138,,,,,0,0,"0","CONTRATTO  DI PROGRAMMA GENESIS SOC.CONS. A R.L.",4,0,0,0,0,
33201,"2005-12-02 00:00:00",0,8,139,,,,,0,0,"0","RELAZIONI 1° SEM 2005 SULLE EROGAZIONI DELLA CASSA DEPOSITI E PRESTITI SU PATTI TERRITORIALI  CONTRATTI D'AREA",4,0,0,0,0,
33203,"2007-03-16 00:00:00",0,8,141,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CIT SPA",4,0,4,8,0,
33204,"2005-12-02 00:00:00",0,8,141,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CIT SPA",4,0,4,8,0,
33205,"2006-03-22 00:00:00",0,8,141,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CIT SPA",4,0,4,8,0,
33206,"2006-03-22 00:00:00",0,8,142,,,,,0,0,"0","CONTRATTO DI PROGRAMMA EUROALLUMINA",4,0,4,8,0,
33207,"2005-12-02 00:00:00",0,8,142,,,,,0,0,"0","CONTRATTO DI PROGRAMMA EUROALLUMINA",4,0,4,8,0,
33208,"2008-08-01 00:00:00",0,8,143,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CREO",4,0,4,8,0,
33209,"2005-12-02 00:00:00",0,8,143,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CREO",4,0,4,8,0,
33210,"2006-03-22 00:00:00",0,8,143,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CREO",4,0,4,8,0,
33211,"2006-03-22 00:00:00",0,8,144,,,,,0,0,"0","CONTRATTO DI PROGRAMMA AGROERICINO",4,0,4,8,0,
33212,"2005-12-02 00:00:00",0,8,144,,,,,0,0,"0","CONTRATTO DI PROGRAMMA AGROERICINO",4,0,4,8,0,
33214,"2005-12-02 00:00:00",0,8,145,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO AGROINDUSTRIALE AREE SVANTAGGIATE PIEMONTESI",4,0,4,8,0,
33215,"2006-03-22 00:00:00",0,8,145,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO AGROINDUSTRIALE AREE SVANTAGGIATE PIEMONTESI",4,0,4,8,0,
33216,"2007-06-15 00:00:00",0,8,145,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO AGROINDUSTRIALE AREE SVANTAGGIATE PIEMONTESI",4,0,4,8,0,
33217,"2006-03-22 00:00:00",0,8,146,,,,,0,0,"0","CONTRATTO DI PROGRAMMA SVILUPPO SICILIA SCARL",4,0,4,8,0,
33218,"2005-12-02 00:00:00",0,8,146,,,,,0,0,"0","CONTRATTO DI PROGRAMMA SVILUPPO SICILIA SCARL",4,0,4,8,0,
33220,"2005-12-02 00:00:00",0,8,147,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO SVILUPPO AGROINDUSTRIALE PIEMONTESE ",4,0,0,0,0,
33222,"2006-12-22 00:00:00",0,8,147,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO SVILUPPO AGROINDUSTRIALE PIEMONTESE ",4,0,0,0,0,
33223,"2006-03-22 00:00:00",0,8,148,,,,,0,0,"0","CONTRATTO DI PROGRAMMA ALIMENTA",4,0,4,8,0,
33224,"2005-12-02 00:00:00",0,8,148,,,,,0,0,"0","CONTRATTO DI PROGRAMMA ALIMENTA",4,0,4,8,0,
33225,"2005-12-02 00:00:00",0,8,149,,,,,0,0,"0","CONTRATTO DI FILIERA ""CAVIRO""",4,0,0,0,0,
33227,"2005-12-02 00:00:00",0,8,150,,,,,0,0,"0","CONTRATTI DI FILIERA ""C.I.S.A. Scarl""",4,0,0,0,0,
33229,"2005-12-02 00:00:00",0,8,151,,,,,0,0,"0","CONTRATTO  DI FILIERA ""CON.AV. Scarl""",4,0,0,0,0,
33230,"2007-11-29 00:00:00",0,8,152,,,,,0,0,"0","CONTRATTI DI FILIERA ""S.I.GRA.D.""",4,0,0,0,0,
33263,"2006-03-22 00:00:00",0,8,177,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONAFLOR",4,0,4,8,0,
33264,"2006-03-22 00:00:00",0,8,178,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO CALABRIA MARE",4,0,4,8,0,
33265,"2006-03-22 00:00:00",0,8,179,,,,,0,0,"0","CONTRATTO DI PROGRAMMA FARO",4,0,4,8,0,
33266,"2006-03-22 00:00:00",0,8,180,,,,,0,0,"0","CONTRATTO DI PROGRAMMA VILLA DELLA GIOIA",4,0,4,8,0,
33267,"2006-03-22 00:00:00",0,8,181,,,,,0,0,"0","CONTRATTO DI PROGRAMMA SVILUPPO IMPERIA - ELSAG",4,0,4,8,0,
33268,"2006-03-22 00:00:00",0,8,182,,,,,0,0,"0","CONTRATTO DI PROGRAMMA CONSORZIO AGROALIMENTARE BASSO FERRARESE",4,0,4,8,0,
33270,"2001-03-08 00:00:00",0,9,1,,,,,0,0,"0","RISORSE AREE DEPRESSE LIGURIA - RIALLOCAZ. LAVORATORI EX ILVA",2,0,4,8,0,
33271,"2001-05-03 00:00:00",0,9,2,,,,,0,0,"0","CRITERI DELIMITAZIONE SISTEMI LOCALI DEL LAVORO (L. 144/99 ART. 19)",4,0,4,8,0,
33272,"2001-03-08 00:00:00",0,9,2,,,,,0,0,"0","CRITERI DELIMITAZIONE SISTEMI LOCALI DEL LAVORO (L. 144/99 ART. 19)",4,0,4,8,0,
33273,"2001-11-15 00:00:00",0,9,3,,,,,0,0,"0","""PROGRAMMA DI EMERSIONE"" LEGGE 383/2001",0,0,4,8,0,
33274,"2002-03-28 00:00:00",0,9,4,,,,,0,0,"0","ASSEGNAZIONE RISORSE AL FONDO PER L'OCCUPAZIONE (LAVORATORI PRECARI PALERMO)",0,0,4,8,0,
33275,"2002-08-02 00:00:00",0,9,5,,,,,0,0,"0","PROGRAMMA DI EMERSIONE PROGRESSIVA PER I LAVORATORI SUBORDINATI",4,0,4,8,0,
33276,"2002-06-06 00:00:00",0,9,5,,,,,0,0,"0","PROGRAMMA DI EMERSIONE PROGRESSIVA PER I LAVORATORI SUBORDINATI",4,0,4,8,0,
33277,"2002-06-14 00:00:00",0,9,6,,,,,0,0,"0","L. 196/1997 - RIPARTO RISORSE A FAVORE DEL FONDO OCCUPAZIONE E PROMOZIONE LAVORO AUTONOMO",2,0,4,8,0,
33278,"2006-11-17 00:00:00",0,9,7,,,,,0,0,"0","PROGETTO MEDIATECA 2000 – 2°  FASE",4,0,0,0,0,
33279,"2003-05-09 00:00:00",0,9,7,,,,,0,0,"0","PROGETTO MEDIATECA 2000 – 2°  FASE",4,0,0,0,0,
33280,"2001-05-03 00:00:00",0,10,1,,,,,0,0,"0","FONDO SPECIALE RICERCA - FISR -RIPARTO 2000/2003 ",4,0,4,8,0,
33281,"2001-05-03 00:00:00",0,10,2,,,,,0,0,"0","RICHIESTA PUBBLICAZIONE ERRORI AL PNR APPROVATO IN SEDUTA CIPE 21/12/2000",4,0,4,8,0,
33282,"2001-05-03 00:00:00",0,10,3,,,,,0,0,"0","INTESA MURST - CNR: PROROGA ",4,0,4,13,0,
33283,"2002-04-19 00:00:00",0,10,5,,,,,0,0,"0","LINEE GUIDA PER PROGRAMMA NAZIONALE RICERCA 2003-2005",4,0,4,8,0,
33284,"2005-03-18 00:00:00",0,10,6,,,,,0,0,"0","PROGRAMMA NAZIONALE RICERCA 2005 -2007",4,0,0,0,0,
33285,"2001-02-01 00:00:00",0,11,1,,,,,0,0,"0","L. 211/92 - INTERVENTI FINANZIATI CON DELIBERA 21/4/99 - REVOCHE",5,0,4,8,0,
33286,"2001-02-01 00:00:00",0,11,2,,,,,0,0,"0","RELAZIONE UVER STATO ATTUAZIONE COMPLETAMENTO OPERE L. 208/98 ",5,0,4,8,0,
33288,"2001-02-01 00:00:00",0,11,3,,,,,0,0,"0","SCHEMA CONTRATTO PROGRAMMA FS S.p.A.",5,0,4,8,0,
33289,"2001-02-01 00:00:00",0,11,4,,,,,0,0,"0","PIANO GENERALE TRASPORTI",5,0,4,8,0,
33290,"2001-03-08 00:00:00",0,11,6,,,,,0,0,"0","PIANI STRALCIO DEPURAZIONE",5,0,4,8,0,
33291,"2003-01-31 00:00:00",0,11,7,,,,,0,0,"0","L. 641/96 -  INTERVENTI STRADE PROVINCIALI (DEL. 4/8/2000) - 2° PROPOSTA ",5,0,4,8,0,
33294,"2001-05-03 00:00:00",0,11,9,,,,,0,0,"0","L. 211/92 - TRASPORTO RAPIDO DI MASSA BOLOGNA, PADOVA, OSIMO, PERUGIA, VENEZIA, ANCONA",5,0,4,8,0,
33295,"2002-08-02 00:00:00",0,11,10,,,,,0,0,"0","RELAZIONE UVER SUGLI INVESTIMENTI PUBBLICI NELLE UNIVERSITA’ DELLA CALABRIA",2,0,4,13,0,
33296,"2001-11-15 00:00:00",0,11,10,,,,,0,0,"0","RELAZIONE UVER SUGLI INVESTIMENTI PUBBLICI NELLE UNIVERSITA’ DELLA CALABRIA",2,0,4,13,0,
33297,"2001-11-15 00:00:00",0,11,11,,,,,0,0,"0","PRESA D'ATTO PROSPETTO INFORMATIVO RETE FERROVIARIA",3,0,4,13,0,
33298,"2001-11-15 00:00:00",0,11,12,,,,,0,0,"0","RELAZIONE ATTUAZIONE CONTRATTO DI PROGRAMMA1994/2000 FS S.p.A.",5,0,4,13,0,
33299,"2001-11-15 00:00:00",0,11,13,,,,,0,0,"0","RELAZIONE UVER STATO ATTUAZIONE COMPLETAMENTO OPERE L. 208/98 - OPERE COMMISSARIATE",5,0,4,13,0,
33300,"2002-08-02 00:00:00",0,11,14,,,,,0,0,"0","PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",5,0,4,5,0,
33301,"2001-11-15 00:00:00",0,11,14,,,,,0,0,"0","PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",5,0,4,5,0,
33302,"2001-12-21 00:00:00",0,11,14,,,,,0,0,"0","PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",5,0,4,5,0,
33303,"2002-02-14 00:00:00",0,11,14,,,,,0,0,"0","PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",5,0,4,5,0,
33304,"2002-03-28 00:00:00",0,11,14,,,,,0,0,"0","PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",5,0,4,5,0,
33305,"2002-06-14 00:00:00",0,11,14,,,,,0,0,"0","PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",5,0,4,5,0,
33306,"2001-11-15 00:00:00",0,11,15,,,,,0,0,"0","PROGRAMMI TRIENNALI EX LEGE N. 109/1994 PARERE DI CONFORMITA'",5,0,4,8,0,
33307,"2002-09-29 00:00:00",0,11,16,,,,,0,0,"0","CONTRATTO DI PROGRAMMA FS 2001-2005 – PIANO DI PRIORITA’ DEGLI INVESTIMENTI",5,0,4,8,0,
33308,"2001-11-15 00:00:00",0,11,16,,,,,0,0,"0","CONTRATTO DI PROGRAMMA FS 2001-2005 – PIANO DI PRIORITA’ DEGLI INVESTIMENTI",5,0,4,8,0,
33309,"2001-11-15 00:00:00",0,11,17,,,,,0,0,"0","L. 211/92 - TRASPORTO RAPIDO DI MASSA SAVONA ANCONA ROMA",5,0,4,8,0,
33310,"2002-02-14 00:00:00",0,11,18,,,,,0,0,"0","ELEVAZIONE LIMITI DI REDDITO PER L'EDILIZIA AGEVOLATA",5,0,4,8,0,
33311,"2001-11-15 00:00:00",0,11,19,,,,,0,0,"0","MODIFICA TERMINI DELIBERE NN.23 E 52/2001 (PROGRAMMI STRALCIO DEPURAZIONE)",5,0,4,8,0,
33312,"2008-09-30 00:00:00",0,11,20,,,,,0,0,"0","PONTE SULLO STRETTO DI MESSINA: REITERAZIONE VINCOLO PREORDINATO ALL'ESPROPRIO",5,0,4,8,0,
33313,"2003-08-01 00:00:00",0,11,20,,,,,0,0,"0","PONTE SULLO STRETTO DI MESSINA: REITERAZIONE VINCOLO PREORDINATO ALL'ESPROPRIO",5,0,4,8,0,
